,run,epoch,acc,loss,run_duration,epoch_duration,batch_size,lr
0,1,1,0.0957,2.3056317539215088,3.9498181343078613,3.947662830352783,10,0.01
1,1,2,0.0977,2.3052875185012818,8.986098051071167,4.973880767822266,10,0.01
2,1,3,0.0977,2.305290971040726,13.805143117904663,4.772722482681274,10,0.01
3,2,1,0.2208,2.0704622226953506,4.15489387512207,4.152935028076172,10,0.001
4,2,2,0.3308,1.8139631346464158,8.78528380393982,4.549802780151367,10,0.001
5,2,3,0.385,1.6582249854207038,13.372156858444214,4.500382661819458,10,0.001
6,3,1,0.1187,2.2901027727127077,2.360542058944702,2.358541488647461,100,0.01
7,3,2,0.2377,2.0203780472278594,4.907425165176392,2.470867156982422,100,0.01
8,3,3,0.2913,1.8913185572624207,7.449193239212036,2.4658608436584473,100,0.01
9,4,1,0.1657,2.1867747461795806,2.5113964080810547,2.508521795272827,100,0.001
10,4,2,0.2781,1.9623408818244934,5.117783784866333,2.5301787853240967,100,0.001
11,4,3,0.3173,1.8530724775791168,7.6233131885528564,2.4168903827667236,100,0.001
